Ba Jin
Baab, Heinrich
Báb
Baba, Meher
Baba, Tupeni
Babaji, Haidakhan
Babauta, Leo
Babbage, Charles
Babbitt, Irving
Babbitt, Milton
Babinet, Jacques
Baboulene, David
Babur
Baca, Jimmy Santiago
Baca, Judy
Bacall, Lauren
Bacevich, Andrew
Bach, Carl Philipp Emanuel
Bach, Erich von dem
Bach, Johann Sebastian
Bach, Richard
Bach, Sebastian
Bacharach, Burt
Bachchan, Amitabh
Bachelard, Gaston
Bachelot, Roselyne
Bachmann, Michele
Bacigalupi, Paolo
Backhaus, Wilhelm
Backus, John
Bacon, Francis
Bacon, Francis (artist)
Bacon, Leonard
Bacon, Roger
Badawi, Abdullah Ahmad
Baddiel, David
Baden-Powell, Sir Robert (B-P)
Bader, Douglas
Badian, Ernst
Badiou, Alain
Badnarik, Michael
Badoglio, Pietro
Badu, Erykah
Baedeker, Karl
Baez, Joan
Bagehot, Walter
Baggio, Roberto
Baggott, Jim
Bagramyan, Hovhannes
Bahá'u'lláh
Bahcall, John N.
Bai–Bam
Bai Chongxi
Bai, Jushan
Bai, Meera
Bailey, Alice
Bailey, Bill
Bailey, F. Lee
Bailey, Pearl
Bailey, Philip James
Bailey, Thomas A.
Bailey, Trevor
Baillie, Bruce
Baillie, Joanna
Bailyn, Bernard
Bain, Alexander
Bainbridge, Beryl
Bainimarama, Frank
Bairaktaris, Porphyrios
Baird, Diora
Bak, Per
Bakan, Joel
Baker, General
Baker, Jack
Baker, James
Baker, Kage
Baker, Mitchell
Baker, Russell
Baker, Stewart
Baker, Tom
Bakewell, Sarah
Bakhtiari, Marjaney
Bakker, R. Scott
Bakr, Abu
Bakri, Omar
Bakshi, Ralph
Bakunin, Mikhail
Bala
Balamuralikrishna, M.
Balasaraswati
Balašević, Đorđe
Balcer, Rene
Balcon, Michael
Balder, Artur
Baldinucci, Filippo
Baldwin, Alec
Baldwin, James
Baldwin, Roger Nash
Baldwin, Stanley
Balestrero, Gregory
Balfour, Arthur
Balfour, Francis Maitland
Balko, Radley
Ball, Hugo
Ball, John (priest)
Ball, Lucille
Ball, Robert Stawell
Balla, Giacomo
Ballard, J. G.
Balliett, Whitney
Ballou, Adin
Ballou, Hosea
Balsekar, Ramesh
Balsillie, Jim
Balzac, Honoré de
Balzac, Jean-Louis Guez de Balzac
Bambaataa, Afrika
Bamford, Maria
Ban–Barn
Ban, Ki-moon
Bancroft, Anne
Bancroft, George
Banda, Hastings
Bandeira, Manuel
Bandura, Albert
Bang, Abhay
Banglie, Lu
Bangs, Edward
Bangs, John Kendrick
Bangs, Lester
Banhart, Devendra
Bankhead, Tallulah
Banks, Ernie
Banks, Iain
Banks, Joseph
Banks, Robert
Banks, Tony (Lord Stratford)
Banks, Tyra
Banksy
Banna, Hassan
Banneker, Benjamin
Bannerman, Frances
Bannister, Roger
Banville, John
Bara, Theda
Barak, Ehud
Baraka, Amiri
Baran, Paul A.
Barassi, Ron
Barât, Carl
Baratynsky, Evgeny
Barbaccia, Gregory
Barbara (singer)
Barbauld, Anna Letitia
Barbeau, Adrienne
Barber, Benjamin
Barber, Margaret
Barberi, Gina
Barbie, Klaus
Barbour, John
Barbusse, Henri
Barbut, James
Barclay, Robert
Barclay, William
Bardeen, John
Bardon, Franz
Bardot, Brigitte
Bareilles, Sara
Barenboim, Daniel
Barère de Vieuzac, Bertrand
Barham, Richard Harris
Baring, Evelyn, 1st Earl of Cromer
Baring, Maurice
Baring-Gould, Sabine
Barker, Clive
Barker, George
Barker, Jane
Barker, Nicola
Barkley, Charles
Barlas, John Evelyn
Barlow, George
Barlow, Harold
Barlow, Joel
Barlow, John Perry
Barlow, Peter (mathematician)
Barnard, Chester
Barnes, Albert
Barnes, Djuna
Barnes, John
Barnes, Julian
Barnes, Kevin
Barnes, Roy
Barnes, Simon
Barnes, William
Barnette, Henlee Hulix
Barney, Matthew
Barney, Natalie Clifford
Barnfield, Richard
Barnhill, John Basil
Barnum, P. T.
Baro–Baz
Baron, Alexander
Barr, Alfred
Barr, Bob
Barr, James
Barr, Matthias
Barr, Nicholas
Barr, Robert
Barr, Stringfellow
Barragán, Luis
Barraza, Santa
Barrett, James Lee
Barre, Siad
Barreto, Lima
Barrett, Michael
Barrett, William (philosopher)
Barrett, Syd
Barrie, J. M.
Barrington, George
Barro, Robert
Barron, Charles
Barron, Carl
Barrow, Isaac
Barrowman, John
Barry, Dave
Barry, Kevin
Barry, Marion
Barry, Max
Barry, Michael Joseph
Barry, Robert
Barry, Todd
Barrymore, John
Barsky, Vladimir
Bart, Lionel
Barth, Alan
Barth, John
Barth, Karl
Bartholomew of San Concordio
Barthelme, Donald
Barthes, Roland
Bartle, Richard
Bartlett, Bruce Reeves
Bartlett, Charles L. (journalist)
Bartók, Béla
Barton, Bruce Fairchild
Barton, Joe
Barton, Joey
Baruch, Bernard
Barwich, Heinz
Baryshnikov, Mikhail
Barzani, Massoud
Barzun, Jacques
Basava
Bascom, John
Bashford, Henry Howarth
Bashir, Abu Bakar
Bashir, Omar
Bashō, Matsuo
Basie, Count
Baskin, Leonard
Basquiat, Jean-Michel
Bass, Kyle
Bassani, Franco
Bastami, Bayazid
Bastard, Ol' Dirty
Bastard, Thomas
Bastiat, Frédéric
Baťa, Tomáš
Bataille, Georges
Batalvi, Shiv Kumar
Bates, Brian (psychologist)
Bates, Marston
Bateson, Gregory
Bateson, Thomas
Bateson, William
Bath, Elizabeth
Bathgate, Andy
Batistuta, Gabriel
Battcock, Gregory
Battelle, John
Battuta, Ibn
Bauby, Jean-Dominique
Baude, Frank
Baudelaire, Charles
Baudrillard, Jean
Bauer, Bruno
Bauer, Erich
Bauer, Friedrich
Bauer, Marion
Bauer, Yehuda
Baum, L. Frank
Bauman, Neil
Bauman, Zygmunt
Bavadra, Timoci
